All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    Hybrid_Pl3  Illumina_Only_Pl3
# contigs (>= 0 bp)         1           1                
# contigs (>= 1000 bp)      1           1                
# contigs (>= 5000 bp)      1           1                
# contigs (>= 10000 bp)     0           0                
# contigs (>= 25000 bp)     0           0                
# contigs (>= 50000 bp)     0           0                
Total length (>= 0 bp)      9306        9306             
Total length (>= 1000 bp)   9306        9306             
Total length (>= 5000 bp)   9306        9306             
Total length (>= 10000 bp)  0           0                
Total length (>= 25000 bp)  0           0                
Total length (>= 50000 bp)  0           0                
# contigs                   1           1                
Largest contig              9306        9306             
Total length                9306        9306             
Reference length            9310        9310             
GC (%)                      30.78       30.78            
Reference GC (%)            30.81       30.81            
N50                         9306        9306             
NG50                        9306        9306             
N90                         9306        9306             
NG90                        9306        9306             
auN                         9306.0      9306.0           
auNG                        9302.0      9302.0           
L50                         1           1                
LG50                        1           1                
L90                         1           1                
LG90                        1           1                
# N's per 100 kbp           0.00        0.00             
